SID,SMILES,-log10(Carcinogenicity-Mouse_(TD50) [mmol/kg-bw/day])
48414121,CC(=O)NC1=NN=C(S1)C2=CC=C(O2)[N+](=O)[O-],1.576754126063192
48414124,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NC=O,1.0840727883028842
48414126,CCC=C(CC)[N+](=O)[O-],2.571865205971211
48414128,C1=CC(=C(C=C1N)[N+](=O)[O-])N,-0.6031443726201823
48414130,CC1=C(C=C(C=C1)[N+](=O)[O-])N,-0.2600713879850748
48414131,C1CC2=CC=CC3=C(C=CC1=C23)[N+](=O)[O-],0.638272163982407
48414133,COC1=CC=CC=C1[N+](=O)[O-],-0.06445798922691845
48414135,C1=CC=C(C=C1)[N+](=O)[O-],-0.38021124171160603
48414136,C1=CC2=C(C=C1[N+](=O)[O-])NC=N2,-0.35793484700045375
48414141,C1=CC(=CC=C1[N+](=O)[O-])OC2=C(C=C(C=C2)Cl)Cl,0.3925449767853314
48414143,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],-0.7693773260761385
48414148,C[N+](=O)[O-],-0.885361220031512
48414177,CN(C(=O)N)N=O,1.9244530386074692
48414197,CCCCN(CCCC)N=O,2.1617807780923743
48414200,CN(C)N=O,2.593459819566045
48414202,C1=CC=C(C=C1)NC2=CC=C(C=C2)N=O,-0.23552844690754893
48414211,C1CCCN(CC1)N=O,2.3851027839668655
48414233,C1CCN(CC1)N=O,1.9430951486635273
48414235,C1CCN(C1)N=O,2.1687703061329366
48414239,CC1=CC=CC=C1[N+](=O)[O-],0.030118356253500032
48414243,C1=C(C(=C(C(=C1Br)Br)Br)C2=C(C(=C(C(=C2Br)Br)Br)Br)Br)Br,2.378823718224965
48414248,CC1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,1.7986028756795485
48414263,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,0.9030899869919435
48414270,C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,0.7746907182741372
48414275,[O-][O+]=O,1.4067139329795428
48414280,COC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,0.6143937264016879
48414281,C(C(Cl)(Cl)Cl)(Cl)Cl,0.5482135644757098
48414282,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],0.6179829574251317
48414287,CCCCC=NN(C)C=O,1.6179829574251317
48414289,CCCCCNN.Cl,1.3736596326249577
